,loggingTime(txt),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
563,19.022000000000002,-0.0394765697419643,-0.1004464477300644,-1.262322425842285,-0.8321685791015625,-0.4218902587890625,-0.0400238037109375
564,19.052,0.0316801667213439,-0.3438929319381714,-2.70639967918396,-0.7946624755859375,-0.3560638427734375,-0.065704345703125
565,19.109,-0.0653025731444358,-0.3419091403484344,-2.706424474716187,-0.8762664794921875,-0.59710693359375,-0.012359619140625
566,19.122,-0.0842946395277977,-0.3374621868133545,-2.898589611053467,-0.7095794677734375,-0.642730712890625,-0.009368896484375
567,19.17,0.0574949830770492,-0.2498982548713684,-2.423619508743286,-0.6870574951171875,-0.8172454833984375,0.023406982421875
568,19.192,0.0574949830770492,-0.2498982548713684,-2.423619508743286,-0.551361083984375,-0.783905029296875,-0.0224456787109375
569,19.227,0.0479078702628612,-0.1953082382678986,-2.770267724990845,-0.520538330078125,-0.87548828125,0.00531005859375
570,19.262,0.2019459009170532,-0.1695618629455566,-2.982930660247803,-0.42449951171875,-0.896728515625,0.023834228515625
571,19.292,0.0483701974153518,-0.2505150437355042,-3.284646272659302,-0.343017578125,-0.950592041015625,0.0051116943359375
572,19.322000000000003,0.1050435975193977,-0.2165805101394653,-3.160862684249878,-0.2890625,-0.9830780029296876,0.0269775390625
573,19.362000000000002,0.1059666499495506,-0.1423113346099854,-2.557438850402832,-0.17181396484375,-1.016265869140625,0.0514984130859375
574,19.41,0.059341087937355,-0.1862316578626633,-2.127575635910034,-0.0952301025390625,-1.0247802734375,0.0189208984375
575,19.422,0.0074579161591827,-0.2223289459943771,-2.192066669464111,-0.01678466796875,-0.9781646728515624,0.0283203125
576,19.468,0.0074579161591827,-0.2223289459943771,-2.192066669464111,0.076263427734375,-1.024520874023438,0.0201416015625
577,19.492,0.1618890315294266,-0.3288545906543732,-2.551468372344971,0.145660400390625,-1.00335693359375,0.0484619140625
578,19.532,0.136677160859108,-0.4302320778369904,-2.489679336547852,0.18896484375,-0.97589111328125,0.0101318359375
579,19.562,0.1816518157720566,-0.4432877004146576,-2.328023195266724,0.31243896484375,-0.9173583984375,0.048980712890625
580,19.592000000000002,0.0078531289473176,-0.5654402375221252,-2.826797485351562,0.4223480224609375,-0.8886566162109375,0.0203704833984375
581,19.652,0.1955639123916626,-0.5205257534980774,-2.730122804641724,0.433349609375,-0.913055419921875,0.05718994140625
